127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000311
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000758
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000574
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000688
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000326
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000476
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000791
127.0.0.1, 2012-01-09 14:16:20, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000400
127.0.0.1, 2012-01-09 14:16:21, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000400
127.0.0.1, 2012-01-09 14:16:21, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000299
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/default/index, HTTP/1.1, 200, 0.028395
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000325
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000356
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000303
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000308
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000329
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000406
